,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
2,션샤인빌,36C㎡,서울시 영등포구 당산동1가,1156011100,152,서울시 영등포구 영신로41길 13,37.52188,126.899923,16,0,6,6,243,59,9,오성종합건설(주),HT001,36.04,29.88,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,8,,72.0,109.0
3,션샤인빌,36D,서울시 영등포구 당산동1가,1156011100,152,서울시 영등포구 영신로41길 13,37.52188,126.899923,16,0,6,6,243,59,9,오성종합건설(주),HT001,36.17,29.98,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,8,,72.0,109.0
0,신현빌3차(도시형),37A㎡,서울시 영등포구 당산동1가,1156011100,185-45,서울시 영등포구 영신로43길 8-9,37.522404,126.900101,12,0,6,6,231,59,6,주식회사 바른종합건설,HT001,37.13,29.53,80,1,1,4,계단식,,,,,,,,,,,,,,"2억 8,500",,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
1,신현빌3차(도시형),37B㎡,서울시 영등포구 당산동1가,1156011100,185-45,서울시 영등포구 영신로43길 8-9,37.522404,126.900101,12,0,6,6,231,59,6,주식회사 바른종합건설,HT001,37.37,29.72,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
2,신현빌3차(도시형),37C,서울시 영등포구 당산동1가,1156011100,185-45,서울시 영등포구 영신로43길 8-9,37.522404,126.900101,12,0,6,6,231,59,6,주식회사 바른종합건설,HT001,37.47,29.8,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
0,에버그린스타(도시형),22㎡,서울시 영등포구 당산동1가,1156011100,188-3,서울시 영등포구 영신로43길 8,37.52232,126.900652,28,0,10,10,0,0,18,세종주택건설(주),HT001,22.53,19.54,87,1,1,14,계단식,,,,,,,,,,,,,,"2억 5,000",,"5,000/100",,"5,000/100",서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,,72.0,109.0
1,에버그린스타(도시형),43,서울시 영등포구 당산동1가,1156011100,188-3,서울시 영등포구 영신로43길 8,37.52232,126.900652,28,0,10,10,0,0,18,세종주택건설(주),HT001,43.92,38.09,87,1,1,14,계단식,,,,,,,,,,,,,,"3억 8,000",,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,,72.0,109.0
0,에이원하우징,38,서울시 영등포구 당산동1가,1156011100,166-1,서울시 영등포구 영신로41길 5-1,37.521805,126.900592,8,0,7,7,249,55,5,신성씨앤디(주),HT001,38.3,29.88,78,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,,72.0,109.0
0,진로,82㎡,서울시 영등포구 당산동1가,1156011100,16-1,서울시 영등포구 당산로 68,37.520755,126.8963,461,0,23,21,353,24,551,진로건설,HT001,82.8,59.4,72,3,1,207,복도식,431550,942480,86310,424620,0,0,0,,131082,133384,"8억 6,000","9억 5,000",,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,,179.0,230.0
1,진로,107㎡,서울시 영등포구 당산동1가,1156011100,16-1,서울시 영등포구 당산로 68,37.520755,126.8963,461,0,23,21,353,24,551,진로건설,HT001,107.77,84.87,79,3,2,170,계단식,693000,1360800,138600,529200,0,0,0,,187289,190577,"11억 5,000",12억,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,,179.0,230.0
