,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,building_name,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
951,2021-104153(1),아파트,2022-04-27,80,배당종결,1,820,656,785,96,14,19.336,5.85,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/104153/282098.jpg,서울 노원구 월계동 18,1135010200,1135058000,서울,노원구,월계동,18,,117동,15.0,1501,서울 노원구 마들로 31,그랑빌아파트,마들로,31,,01913,37.6178028996422,127.068568020687,한진한화그랑빌,84.97,2002.0,88,2020,10,26,,2020-10-26,548 days
952,2021-104153(1),아파트,2022-04-27,80,배당종결,1,820,656,785,96,14,19.336,5.85,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/104153/282098.jpg,서울 노원구 월계동 18,1135010200,1135058000,서울,노원구,월계동,18,,117동,15.0,1501,서울 노원구 마들로 31,그랑빌아파트,마들로,31,,01913,37.6178028996422,127.068568020687,한진한화그랑빌,84.97,2002.0,89,2020,12,3,,2020-12-03,510 days
953,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,12,2021,10,20,,2021-10-20,182 days
954,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,13,2021,10,28,,2021-10-28,174 days
955,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,12,2021,11,9,직거래,2021-11-09,162 days
956,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,13,2021,2,4,,2021-02-04,440 days
957,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,13,2021,2,4,,2021-02-04,440 days
958,2021-2223(1),아파트,2022-04-20,64,배당종결,2,140,89,123,88,13,6.2186,1.88,15.076,4.56,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/2223/109934.jpg,서울 영등포구 영등포동1가 145,1156010200,1156053500,서울,영등포구,영등포동1가,145,,,8.0,811,서울 영등포구 경인로114길 62,,경인로114길,62,,07308,37.5171997077237,126.91271935471,내이처해밀,14.24,2012.0,12,2021,6,28,,2021-06-28,296 days
959,2021-109117(1),아파트,2022-04-19,100,배당종결,0,515,515,583,113,3,14.75,4.46,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/109117/17529_AUTO_10.jpg,서울 양천구 신정동 948-24,1147010100,1147065000,서울,양천구,신정동,948,24,101동,13.0,1301,서울 양천구 오목로 160,신호아파트,오목로,160,,08020,37.5246564224396,126.85523050514,신호,59.94,1997.0,53,2021,1,22,,2021-01-22,452 days
960,2021-100787(1),아파트,2022-04-12,100,배당종결,0,1,1,1,105,5,40.88,12.37,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/100787/95823.jpg,서울 동작구 노량진동 325,1159010100,1159051000,서울,동작구,노량진동,325,,703동,6.0,602,서울 동작구 만양로 19,상도신동아리버파크아파트,만양로,19,,06920,37.5070717430905,126.945718197277,신동아리버파크,59.67,2001.0,81,2023,5,4,중개거래,2023-05-04,-387 days
961,2021-100787(1),아파트,2022-04-12,100,배당종결,0,1,1,1,105,5,40.88,12.37,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/100787/95823.jpg,서울 동작구 노량진동 325,1159010100,1159051000,서울,동작구,노량진동,325,,703동,6.0,602,서울 동작구 만양로 19,상도신동아리버파크아파트,만양로,19,,06920,37.5070717430905,126.945718197277,신동아리버파크,84.88,2001.0,98,2023,5,27,중개거래,2023-05-27,-410 days
962,2021-100787(1),아파트,2022-04-12,100,배당종결,0,1,1,1,105,5,40.88,12.37,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/100787/95823.jpg,서울 동작구 노량진동 325,1159010100,1159051000,서울,동작구,노량진동,325,,703동,6.0,602,서울 동작구 만양로 19,상도신동아리버파크아파트,만양로,19,,06920,37.5070717430905,126.945718197277,신동아리버파크,114.75,2001.0,90,2022,7,8,직거래,2022-07-08,-87 days
963,2021-100787(1),아파트,2022-04-12,100,배당종결,0,1,1,1,105,5,40.88,12.37,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/100787/95823.jpg,서울 동작구 노량진동 325,1159010100,1159051000,서울,동작구,노량진동,325,,703동,6.0,602,서울 동작구 만양로 19,상도신동아리버파크아파트,만양로,19,,06920,37.5070717430905,126.945718197277,신동아리버파크,114.75,2001.0,108,2020,9,8,,2020-09-08,581 days
964,2021-105603(1),아파트,2022-04-12,100,배당종결,0,1,1,1,115,2,66.305,20.06,134.88,40.8,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/105603/111811.jpg,서울 강서구 가양동 1459,1150010400,1150060300,서울,강서구,가양동,1459,,107동,10.0,1002,서울 강서구 강서로 532,"동신아파트,대아아파트",강서로,532,,07524,37.5721731420165,126.843356532019,동신대아,101.97,1993.0,98,2020,8,16,,2020-08-16,604 days
965,2021-102874(1),아파트,2022-04-12,80,배당종결,1,583,466,558,96,9,22.83,6.91,59.4,17.97,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/102874/93393.jpg,서울 중랑구 신내동 591,1126010600,1126068000,서울,중랑구,신내동,591,,404동,11.0,1105,서울 중랑구 봉화산로 216,동성아파트,봉화산로,216,,02067,37.6067265670772,127.096444206008,동성아파트,59.4,1997.0,62,2021,11,13,중개거래,2021-11-13,150 days
966,2021-1272(1),아파트,2022-04-11,80,배당종결,1,1,1,1,96,7,46.18,13.97,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1272/283532.jpg,서울 강동구 고덕동 688,1174010200,1174055000,서울,강동구,고덕동,688,,306동,3.0,304,서울 강동구 아리수로50길 50,래미안힐스테이트고덕,아리수로50길,50,,05229,37.5589494593044,127.147082524967,래미안힐스테이트고덕,84.9,2016.0,128,2023,4,1,중개거래,2023-04-01,-355 days
