,no,case_number,property_type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image
836,837,2020-272(1),아파트,서울특별시,광진구,자양동,695,2동,7.0,706,한양아파트,서울특별시 광진구 자양동 695외 1필지 한양아파트 제2동 제7층 제706호,2021-02-01,100,배당종결,0,1450000000,1450000000,1751010000,121,18,87.7,26.53,137.45,41.58,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/272/106172.jpg
837,838,2020-1336(1),아파트,서울특별시,송파구,잠실동,86,6동,1.0,102,아시아선수촌아파트,서울특별시 송파구 잠실동 86외 1필지 아시아선수촌아파트 제6동 제1층 제102호,2021-02-01,100,배당종결,0,2960000000,2960000000,3110000000,105,7,119.076,36.02,176.048,53.25,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/1336/108029.jpg
838,839,2020-50444(1),아파트,서울특별시,광진구,중곡동,681,101동,24.0,2402,성원아파트,서울특별시 광진구 중곡동 681 성원아파트 제101동 제24층 제2402호,2021-02-01,100,배당종결,0,385000000,385000000,491999990,128,12,20.5,6.2,59.82,18.1,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/50444/108324.jpg
839,840,2020-52822(1),아파트,서울특별시,송파구,방이동,157,102동,2.0,201,,서울특별시 송파구 방이동 157 방이금호어울림 제102동 제2층 제201호,2021-02-01,100,배당종결,0,844000000,844000000,1085550000,129,5,34.843,10.54,84.3,25.5,http://img1.speedauction.co.kr/new_gamimg/2021/A02/2020/52822/379063.jpg
840,841,2019-109354(1),아파트,서울특별시,동작구,노량진동,325,702동,1.0,110,,서울특별시 동작구 노량진동 325 신동아리버파크 제702동 제1층 제110호,2021-01-27,100,배당종결,0,867000000,867000000,1085550000,129,5,40.65,12.3,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/109354/262438.jpg
841,842,2020-106876(1),아파트,서울특별시,영등포구,대림동,695,201동,14.0,1403,우성아파트,서울특별시 영등포구 대림동 695 우성아파트 제201동 제14층 제1403호,2021-01-27,100,배당종결,0,573000000,573000000,631000000,110,5,31.82,9.63,79.91,24.17,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/106876/41138_AUTO_536.jpg
842,843,2020-103716(1),아파트,서울특별시,강서구,화곡동,343-35,,4.0,402,성재센트리움아파트,서울특별시 강서구 화곡동 343-35외 3필지 성재센트리움아파트 제4층 제402호,2021-01-26,64,배당종결,2,170000000,108800000,164950000,97,2,11.0312,3.34,30.69,9.28,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/103716/121327.jpg
843,844,2019-5530(1),아파트,서울특별시,송파구,잠실동,22,263동,27.0,2701,,서울특별시 송파구 잠실동 22 리센츠 제263동 제27층 제2701호,2021-01-25,8,배당종결,5,1250000000,409600000,570000100,46,22,29.315,8.87,62.11,18.79,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2019/5530/2512061.jpg
844,845,2019-6045(1),아파트,서울특별시,송파구,마천동,20,102동,2.0,208,신동아아파트,서울특별시 송파구 마천동 20외 1필지 신동아아파트 제102동 제2층 제208호,2021-01-25,100,배당종결,0,465000000,465000000,605899990,130,7,25.54,7.73,59.88,18.11,http://img1.speedauction.co.kr/new_gamimg/2021/A02/2019/6045/259281.jpg
845,846,2018-100151(1),아파트,서울특별시,성북구,석관동,10,107동,17.0,1703,두산아파트,서울특별시 성북구 석관동 10 두산아파트 제107동 제17층 제1703호,2021-01-25,100,배당종결,0,474000000,474000000,839900000,177,32,34.95,10.57,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2018/100151/200596.jpg
846,847,2020-582(1),아파트,서울특별시,동대문구,청량리동,235-11,2동,3.0,305,미주아파트,서울특별시 동대문구 청량리동 235-11 미주아파트 제2동 제3층 제305호,2021-01-25,100,배당종결,0,980000000,980000000,1153300000,118,11,44.89,13.58,101.62,30.74,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2020/582/10535_AUTO_943.jpg
847,848,2020-2472(1),아파트,서울특별시,성북구,하월곡동,46-73,,34.0,3401,,서울특별시 성북구 하월곡동 46-73 코업스타클래스 제34층 제101-3401호,2021-01-25,100,배당종결,0,1200000000,1200000000,1355000000,113,4,36.86,11.15,170.45,51.56,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2020/2472/203112.jpg
848,849,2020-100659(1),아파트,서울특별시,동대문구,장안동,363-11,,2.0,201,정암아파트,서울특별시 동대문구 장안동 363-11외 1필지 정암아파트 제2층 제201호,2021-01-25,64,배당종결,2,208000000,133120000,170400000,82,3,24.689,7.47,42.475,12.85,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2020/100659/1624213.jpg
