,no,case_number,property_type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image
0,1,2021-110650(1),아파트,서울특별시,강서구,화곡동,343-49,,9.0,904,혜성오피아파트,"서울특별시 강서구 화곡동 343-49 제9층 제904호 (화곡동, 혜성오피아파트)",2023-08-16,80,매각,12,203000000,162400000,175999999,87,7,6.52,1.97,22.49,6.8,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/110650/23589_AUTO_26.jpg
1,2,2022-114352(1),아파트,서울특별시,영등포구,대림동,1101-1,,7.0,703,,서울특별시 영등포구 대림동 1101-1 유탑유블레스 제7층 제703호,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg
2,3,2022-114512(1),아파트,서울특별시,양천구,신정동,325,1108동,6.0,605,목동신시가지아파트,서울특별시 양천구 신정동 325외 1필지 목동신시가지아파트 제1108동 제6층 제605호,2023-08-16,100,매각,0,1000000000,1000000000,1060199999,106,7,54.95,16.62,51.48,15.57,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114512/46356_AUTO_304.jpg
3,4,2021-3441(30),아파트,서울특별시,성북구,안암동,5,,6.0,501,,"서울특별시 성북구 안암동5가 160-16 주상복합건물 제5,6층 제501호",2023-08-16,64,매각,2,2117000000,1354880000,1363000000,64,1,153.11,46.32,274.87,83.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2021/3441/519252.jpg
4,5,2022-1886(1),아파트,서울특별시,성북구,길음동,1285,704동,10.0,1002,길음7구역 두산위브아파트,"서울특별시 성북구 길음동 1285 704동 10층1002호 (길음동,길음7구역 두산위브아파트)",2023-08-16,80,매각,1,919000000,735200000,744999999,81,3,34.99,10.58,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1886/533241.jpg
5,6,2022-1954(1),아파트,서울특별시,성북구,동소문동,4,116동,8.0,802,동소문2차한신휴플러스,"서울특별시 성북구 동소문동4가 280 116동 8층802호 (동소문동4가,동소문2차한신휴플러스)",2023-08-16,64,매각,2,1348000000,862720000,1081008000,80,4,86.72,26.23,156.33,47.29,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1954/532923.jpg
6,7,2022-2582(1),아파트,서울특별시,중랑구,면목동,494,3동,7.0,705,,서울특별시 중랑구 면목동 494외 2필지 용마금호타운 제3동 제7층 제705호,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg
7,8,2022-1408(1),아파트,서울특별시,성동구,성수동,2,101동,8.0,804,강변임광아파트,서울특별시 성동구 성수동2가 609-2 강변임광아파트 제101동 제8층 제804호,2023-08-14,80,매각,1,2340000000,1872000000,2339000000,100,1,40.122,12.14,84.77,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/1408/815873.jpg
8,9,2022-53027(1),아파트,서울특별시,성동구,금호동,1,302동,1.0,103,벽산아파트,"서울특별시 성동구 금호동1가 633 302동 1층103호 (금호동1가,벽산아파트)",2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg
9,10,2020-104683(1),아파트,서울특별시,서초구,잠원동,58-24,323동,2.0,210,신반포아파트,"서울특별시 서초구 잠원동 58-24 323동 2층210호 (잠원동,신반포아파트)",2023-08-10,100,매각,0,2003000000,2003000000,2207600000,110,1,43.96,13.3,76.4,23.11,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/104683/54307.jpg
10,11,2022-108221(1),아파트,서울특별시,중구,황학동,2545,102동,27.0,2702,롯데캐슬베네치아,"서울특별시 중구 황학동 2545 102동 27층2702호 (황학동,롯데캐슬베네치아)",2023-08-10,64,매각,2,1000000000,640000000,755224800,76,7,11.41,3.45,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108221/54216_AUTO_263.jpg
11,12,2023-218(1),아파트,서울특별시,강남구,압구정동,481,91동,6.0,604,현대아파트,서울특별시 강남구 압구정동 481외 2필지 현대아파트 제91동 제6층 제604호,2023-08-10,100,매각,0,3535000000,3535000000,3814090000,108,2,62.94,19.04,111.5,33.73,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/218/32919_AUTO_46.jpg
12,13,2023-100156(1),아파트,서울특별시,중구,신당동,843,106동,7.0,704,신당동삼성아파트,서울특별시 중구 신당동 843외 3필지 신당동삼성아파트 제106동 제7층 제704호,2023-08-10,80,매각,1,901000000,720800000,871111111,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg
13,14,2022-112350(1),아파트,서울특별시,동작구,신대방동,720,103동,4.0,403,보라매이편한세상,"서울특별시 동작구 신대방동 720 103동 4층403호 (신대방동,보라매이편한세상)",2023-08-09,64,매각,2,1530000000,979200000,1200000000,78,9,68.82,20.82,133.3,40.32,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112350/19898_AUTO_110.jpg
14,15,2022-112435(1),아파트,서울특별시,서초구,잠원동,32-22,,6.0,601,보미리전빌,"서울특별시 서초구 잠원동 32-22 6층601호 (잠원동,보미리전빌)",2023-08-09,64,매각,2,1810000000,1158400000,1421370000,79,6,48.98,14.82,115.24,34.86,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112435/18980_AUTO_122.jpg
15,16,2023-101180(1),아파트,서울특별시,관악구,남현동,1135,103동,1.0,101,우림루미아트아파트,서울특별시 관악구 남현동 1135 우림루미아트아파트 제103동 제1층 제101호,2023-08-09,80,매각,2,949000000,759200000,805000000,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg
16,17,2022-121558(1),아파트,서울특별시,영등포구,신길동,769-1,101동,6.0,604,한성아파트,서울특별시 영등포구 신길동 769-1외 1필지 한성아파트 제101동 제6층 제604호,2023-08-09,80,매각,1,1050000000,840000000,893210000,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg
17,18,2022-105528(1),아파트,서울특별시,도봉구,쌍문동,56,110동,15.0,1506,삼익세라믹아파트,"서울특별시 도봉구 쌍문동 56 110동 15층1506호 (쌍문동,삼익세라믹아파트)",2023-08-09,2,매각,3,470000000,240640000,312960000,67,6,23.45,7.09,42.93,12.99,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105528/124622.jpg
18,19,2022-4176(1),아파트,서울특별시,동작구,상도동,445,102동,5.0,502,경향렉스빌,"서울특별시 동작구 상도동 445 102동 5층502호 (상도동,경향렉스빌)",2023-08-08,64,매각,2,998000000,638720000,733110000,73,4,39.66,12.0,114.653,34.68,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/4176/01564_AUTO_3.jpg
19,20,2022-107860(1),아파트,서울특별시,중구,신당동,851,107동,12.0,1202,래미안신당하이베르아파트,"서울특별시 중구 신당동 851 107동 12층1202호 (신당동,래미안신당하이베르아파트)",2023-08-08,64,매각,2,1810000000,1158400000,1278000000,71,3,65.48,19.81,117.0,35.39,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107860/104688.jpg
20,21,2023-101395(1),아파트,서울특별시,동작구,상도동,431,310동,7.0,704,래미안상도3차아파트,서울특별시 동작구 상도동 431 래미안상도3차아파트 제310동 제7층 제704호,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg
21,22,2023-101999(1),아파트,서울특별시,강남구,역삼동,,,,,디오빌역삼,"서울특별시 강남구 언주로 427, 17층1708호 (역삼동,디오빌역삼)",2023-08-08,80,매각,1,414000000,331200000,411730090,99,17,4.992,1.51,36.96,11.18,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101999/114799.jpg
22,23,2022-1899(1),아파트,서울특별시,은평구,진관동,140,412동,8.0,801,은평뉴타운폭포동,"서울특별시 은평구 진관동 140 412동 8층801호 (진관동,은평뉴타운폭포동)",2023-08-08,64,매각,2,348000000,222720000,222720000,64,1,4.992,1.51,26.97,8.16,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/1899/313546.jpg
23,24,2022-2083(1),아파트,서울특별시,은평구,역촌동,36-37,,,801,,서울특별시 은평구 역촌동 36-37 801호,2023-08-08,64,매각,2,427000000,273280000,305000000,71,2,18.89,5.71,64.28,19.44,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/2083/314092.jpg
24,25,2022-55759(1),아파트,서울특별시,은평구,진관동,102,121동,10.0,1008,은평뉴타운 박석고개,"서울특별시 은평구 진관동 102 121동 10층 1008호 (진관동,은평뉴타운 박석고개)",2023-08-08,64,매각,2,1360000000,870400000,953789000,70,8,18.89,5.71,101.76,30.78,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55759/305218.jpg
25,26,2022-2919(1),아파트,서울특별시,중랑구,묵동,20,513동,12.0,1204,신내대림아파트,"서울특별시 중랑구 묵동 20 513동 12층1204호 (묵동,신내대림아파트)",2023-08-08,64,매각,2,1280000000,819200000,910000000,71,12,70.545,21.34,126.28,38.2,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2919/59173_AUTO_45.jpg
26,27,2021-55569(1),아파트,서울특별시,성동구,마장동,817,104동,10.0,1003,삼성아파트,"서울특별시 성동구 마장동 817 104동 10층1003호 (마장동,삼성아파트)",2023-08-07,2,매각,6,1280000000,335544000,349999000,27,2,41.251,12.48,84.93,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/55569/744670.jpg
27,28,2022-962(1),아파트,서울특별시,송파구,마천동,22-3,,9.0,901,한주리버뷰아파트,"서울특별시 송파구 마천동 22-3 9층901호 (마천동,한주리버뷰아파트)",2023-08-07,64,매각,2,700000000,448000000,539999999,77,1,46.45,14.05,64.32,19.46,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/962/50996_AUTO_274.jpg
28,29,2022-1156(1),아파트,서울특별시,성동구,행당동,377,102동,40.0,4002,서울숲더샵,"서울특별시 성동구 행당동 377 102동 40층4002호 (행당동,서울숲더샵)",2023-08-07,100,매각,0,2570000000,2570000000,2631000000,102,1,43.56,13.18,150.2,45.44,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/1156/03280_AUTO_282.jpg
29,30,2022-53096(1),아파트,서울특별시,성동구,응봉동,98,103동,1.0,103,금호현대아파트,"서울특별시 성동구 응봉동 98 103동 1층103호 (응봉동,금호현대아파트)",2023-08-07,80,매각,1,952000000,761600000,768620000,81,1,34.84,10.54,59.91,18.12,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53096/310354.jpg
30,31,2022-107982(1),아파트,서울특별시,동대문구,답십리동,1014,107동,4.0,404,답십리파크자이,"서울특별시 동대문구 답십리동 1014 107동 4층404호 (답십리동,답십리파크자이)",2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg
31,32,2022-109735(1),아파트,서울특별시,도봉구,쌍문동,639-1,,3.0,302,아파트,"서울특별시 도봉구 쌍문동 639-1 3층302호 (쌍문동,아파트)",2023-08-02,80,매각,1,324000000,259200000,291499000,90,3,35.63,10.78,83.055,25.12,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/109735/149379.jpg
32,33,2022-1677(1),아파트,서울특별시,은평구,대조동,89-258,,3.0,305,디안아파트,"서울특별시 은평구 대조동 89-258 3층305호 (대조동,디안아파트)",2023-08-01,2,매각,3,320000000,163840000,191000000,60,3,18.04,5.46,41.28,12.49,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/1677/84124.jpg
33,34,2022-2434(1),아파트,서울특별시,서대문구,홍은동,188-72,,8.0,802,,서울특별시 서대문구 홍은동 188-72 8층802호,2023-08-01,80,매각,1,722000000,577600000,660111000,91,3,160.78,48.64,164.92,49.89,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/2434/39609_AUTO_62.jpg
34,35,2022-54879(1),아파트,서울특별시,서대문구,홍제동,469,,11.0,1105,인왕산 한신휴플러스,"서울특별시 서대문구 홍제동 469 11층1105호 (홍제동,인왕산 한신휴플러스)",2023-08-01,64,매각,2,1066000000,682240000,878990000,82,17,26.527,8.02,84.925,25.69,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54879/104350.jpg
35,36,2022-55629(1),아파트,서울특별시,용산구,104동,4,,,404,한강로우림필유아파트,"서울특별시 용산구 한강로3가 91 104동 4층404호 (한강로3가,한강로우림필유아파트)",2023-08-01,80,매각,1,1840000000,1472000000,1583000000,86,1,53.6485,16.23,84.99,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55629/13584.jpg
36,37,2022-56103(1),아파트,서울특별시,서대문구,홍제동,132-5,,6.0,604,에이원아파트,서울특별시 서대문구 홍제동 132-5외 1필지 에이원아파트 제6층 제604호,2023-08-01,100,매각,0,451000000,451000000,482000000,107,2,27.086,8.19,58.66,17.74,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56103/536631.jpg
37,38,2022-56936(1),아파트,서울특별시,마포구,상암동,1637,201동,13.0,1306,상암월드컵파크2단지,"서울특별시 마포구 상암동 1637 201동 13층1306호 (상암동,상암월드컵파크2단지)",2023-08-01,64,매각,2,510000000,326400000,385067000,76,7,17.077,5.17,29.96,9.06,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56936/81564.jpg
38,39,2022-57458(1),아파트,서울특별시,마포구,신수동,462,105동,5.0,504,신촌숲아이파크,"서울특별시 마포구 신수동 462 105동 5층504호 (신수동,신촌숲아이파크)",2023-08-01,80,매각,1,1720000000,1376000000,1556530530,90,8,38.95,11.78,84.665,25.61,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57458/49959_AUTO_71.jpg
39,40,2023-107(1),아파트,서울특별시,마포구,신수동,462,105동,5.0,504,신촌숲아이파크,"서울특별시 마포구 신수동 462 105동 5층504호 (신수동,신촌숲아이파크)",2023-08-01,80,매각,1,1733000000,1386400000,1392220000,80,1,29.04,8.78,126.3,38.21,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2023/107/147302.jpg
40,41,2022-105207(1),아파트,서울특별시,도봉구,방학동,740,103동,3.0,304,동양크레오아파트,"서울특별시 도봉구 방학동 740 103동 3층304호 (방학동,동양크레오아파트)",2023-08-01,64,매각,2,588000000,376320000,464000000,79,1,45.36,13.72,84.9696,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105207/126808.jpg
41,42,2022-2469(1),아파트,서울특별시,성북구,길음동,1278,109동,1.0,103,동부센트레빌아파트,"서울특별시 성북구 길음동 1278 109동 1층103호 (길음동,동부센트레빌아파트)",2023-07-26,64,매각,2,840000000,537600000,627777000,75,4,27.698,8.38,59.998,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2469/70469.jpg
42,43,2022-2537(1),아파트,서울특별시,노원구,상계동,1068,,3.0,305,상계5지역중앙하이츠아파트,"서울특별시 노원구 상계동 1068 3층305호 (상계동,상계5지역중앙하이츠아파트)",2023-07-26,64,매각,2,500000000,320000000,380099000,76,4,27.44,8.3,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2537/70391.jpg
43,44,2022-3028(1),아파트,서울특별시,동대문구,휘경동,365,106동,6.0,601,휘경동일하이빌,"서울특별시 동대문구 휘경동 365 106동 6층601호 (휘경동,휘경동일하이빌)",2023-07-26,64,매각,2,152000000,97280000,118900000,78,1,7.226,2.19,14.166,4.29,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/3028/1239883.jpg
44,45,2022-3097(1),아파트,서울특별시,노원구,월계동,320-11,301동,12.0,1206,월계3단지사슴아파트,"서울특별시 노원구 월계동 320-11 301동 12층1206호 (월계동,월계3단지사슴아파트)",2023-07-26,64,매각,2,464000000,296960000,351000000,76,11,21.799,6.59,33.18,10.04,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/3097/05423_AUTO_38.jpg
45,46,2022-105610(1),아파트,서울특별시,노원구,상계동,637,1301동,9.0,905,상계주공아파트,"서울특별시 노원구 상계동 637 1301동 9층905호 (상계동,상계주공아파트)",2023-07-26,2,매각,3,568000000,290816000,374880000,66,19,29.21,8.84,41.3,12.49,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105610/65106.jpg
46,47,2022-108749(1),아파트,서울특별시,노원구,하계동,271-3,5동,13.0,1303,건영아파트,"서울특별시 노원구 하계동 271-3 5동 13층1303호 (하계동,건영아파트)",2023-07-26,80,매각,1,190000000,152000000,156189000,82,1,7.319,2.21,15.18,4.59,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/108749/172138.jpg
47,48,2023-101326(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,100,매각,0,2960000000,2960000000,2971999000,100,1,75.13,22.73,132.05,39.95,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101326/144245.jpg
48,49,2023-101449(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,80,매각,1,1550000000,1240000000,1410000319,91,5,28.4,8.59,173.84,52.59,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101449/12392.jpg
49,50,2023-102404(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,80,매각,1,1030000000,824000000,869752000,84,1,34.475,10.43,84.79,25.65,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/102404/56812_AUTO_24.jpg
50,51,2022-2803(1),아파트,서울특별시,강북구,미아동,813,107동,10.0,1002,래미안트리베라1차,"서울특별시 강북구 미아동 813 107동 10층1002호 (미아동,래미안트리베라1차)",2023-07-25,64,매각,2,1013000000,648320000,750000000,74,20,48.85,14.78,84.97,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2803/1132185.jpg
51,52,2022-107463(1),아파트,서울특별시,노원구,공릉동,745,106동,23.0,2303,동신아파트,"서울특별시 노원구 공릉동 745 106동 23층2303호 (공릉동,동신아파트)",2023-07-25,64,매각,2,659000000,421760000,508150000,77,18,18.71,5.66,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107463/14373_AUTO_49.jpg
52,53,2022-107678(1),아파트,서울특별시,성북구,정릉동,239,103동,10.0,1002,정릉풍림아이원,"서울특별시 성북구 정릉동 239 103동 10층1002호 (정릉동,정릉풍림아이원)",2023-07-25,64,매각,2,816000000,522240000,574990000,70,2,35.005,10.59,84.09,25.44,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107678/902538.jpg
53,54,2021-2763(1),아파트,서울특별시,송파구,가락동,95,102동,10.0,1001,가락동부센트레빌,"서울특별시 송파구 가락동 95 102동 10층1001호 (가락동,가락동부센트레빌)",2023-07-24,80,매각,1,1870000000,1496000000,1870000000,100,3,46.86,14.18,115.93,35.07,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/2763/810537.jpg
54,55,2021-53914(1),아파트,서울특별시,강동구,암사동,413,118동,25.0,2501,프라이어팰리스,"서울특별시 강동구 암사동 413 118동 25층2501호 (암사동,프라이어팰리스)",2023-07-24,80,매각,1,1247000000,997600000,1103103000,88,14,39.419,11.92,84.975,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/53914/809707.jpg
55,56,2022-110446(1),아파트,서울특별시,서초구,반포동,1092,9동,2.0,201,,서울특별시 서초구 반포동 1092외 3필지 에이아이디차관주택 제9동 제2층 제201호,2023-07-20,64,매각,2,2610000000,1670400000,2102000000,81,1,56.45,17.08,72.51,21.93,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110446/114885.jpg
56,57,2022-113063(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,64,매각,2,624000000,399360000,451000000,72,10,20.327,6.15,59.6,18.03,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/113063/99096.jpg
57,58,2023-201(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1130000000,904000000,989000000,88,3,40.81,12.35,114.75,34.71,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/201/533611.jpg
58,59,2023-100613(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1570000000,1256000000,1353830000,86,1,24.7273,7.48,84.7739,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100613/475469.jpg
59,60,2023-100774(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,2850000000,2280000000,2557911000,90,8,48.5982,14.7,120.18,36.35,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100774/475460.jpg
60,61,2023-101357(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1202000000,961600000,1127660000,94,10,41.51,12.56,84.66,25.61,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101357/475442.jpg
61,62,2023-101845(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,896000000,716800000,850000120,95,4,17.953,5.43,84.76,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101845/478248.jpg
62,63,2022-111791(1),아파트,서울특별시,서초구,잠원동,157,108동,1.0,104,동아아파트,"서울특별시 서초구 잠원동 157 108동 1층104호 (잠원동,동아아파트)",2023-07-19,80,매각,1,2180000000,1744000000,2022990000,93,11,32.9342,9.96,84.91,25.69,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111791/145537.jpg
63,64,2022-111814(1),아파트,서울특별시,동작구,본동,494,103동,4.0,401,래미안트윈파크,"서울특별시 동작구 본동 494 103동 4층401호 (본동,래미안트윈파크)",2023-07-19,80,잔금납부,1,1550000000,1240000000,1338830000,86,7,43.08,13.03,84.76,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111814/145201.jpg
64,65,2022-111210(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,64,잔금납부,2,2031000000,1299840000,1453000000,72,5,69.02,20.88,148.83,45.02,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111210/1022486.jpg
65,66,2023-101579(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,80,매각,1,3600000000,2880000000,3336999000,93,5,33.4558,10.12,106.22,32.13,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101579/533587.jpg
66,67,2023-102732(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,80,매각,1,973000000,778400000,863260000,89,14,34.15,10.33,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/102732/543334.jpg
67,68,2021-56755(1),아파트,서울특별시,마포구,상암동,1752,901동,12.0,1202,상암월드컵파크9단지,"서울특별시 마포구 상암동 1752 901동 12층1202호 (상암동,상암월드컵파크9단지)",2023-07-18,64,매각,2,1137000000,727680000,855000000,75,15,57.4,17.36,84.89,25.68,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2021/56755/50077_AUTO_363.jpg
68,69,2022-54893(1),아파트,서울특별시,용산구,나동,,,,,풍전아파트,서울특별시 용산구 원효로4가 110-1 나동호 풍전아파트,2023-07-18,80,매각,1,1150000000,920000000,926600000,81,1,34.71,10.5,77.65,23.49,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54893/150550.jpg
69,70,2022-55728(1),아파트,서울특별시,용산구,한남동,807,106동,12.0,1205,한남힐스테이트,"서울특별시 용산구 한남동 807 106동 12층 1205호 (한남동,한남힐스테이트)",2023-07-18,100,매각,0,1770000000,1770000000,1770000000,100,1,45.46,13.75,84.86,25.67,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55728/176905.jpg
70,71,2022-55780(1),아파트,서울특별시,서대문구,홍제동,463,104동,2.0,204,문화촌현대아파트,"서울특별시 서대문구 홍제동 463 104동 2층 204호 (홍제동,문화촌현대아파트)",2023-07-18,64,매각,2,677000000,433280000,531009000,78,10,26.21,7.93,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55780/176911.jpg
71,72,2022-56066(1),아파트,서울특별시,은평구,진관동,62,101동,9.0,904,은평스카이뷰자이,"서울특별시 은평구 진관동 62 101동 9층904호 (진관동,은평스카이뷰자이)",2023-07-18,64,매각,2,1260000000,806400000,850910285,68,2,26.21,7.93,84.7488,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56066/179510.jpg
72,73,2022-57779(1),아파트,서울특별시,용산구,이촌동,430,108동,17.0,1703,엘지한강자이아파트,서울특별시 용산구 이촌동 430외 2필지 엘지한강자이아파트 제108동 제17층 제1703호,2023-07-18,100,잔금납부,0,3702000000,3702000000,4236999000,114,4,72.7507,22.01,169.71,51.34,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57779/168818.jpg
73,74,2022-399(1),아파트,서울특별시,강동구,암사동,508,104동,10.0,1004,삼성광나루아파트,"서울특별시 강동구 암사동 508 104동 10층1004호 (암사동,삼성광나루아파트)",2023-07-17,64,잔금납부,2,229000000,146560000,162150000,71,2,5.224,1.58,15.416,4.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/399/16091_AUTO_62.jpg
74,75,2022-474(1),아파트,서울특별시,송파구,송파동,58-4,,5.0,502,레이크 해모로,"서울특별시 송파구 송파동 58-4 5층502호 (송파동,레이크 해모로)",2023-07-17,2,잔금납부,3,1429000000,731648000,1021000000,71,48,26.153,7.91,84.75,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/474/KakaoTalk_Snapshot_20230706_180106_1688634191.png
75,76,2022-50974(1),아파트,서울특별시,송파구,가락동,913,206동,7.0,701,헬리오시티,"서울특별시 송파구 가락동 913 206동 7층701호 (가락동,헬리오시티)",2023-07-17,64,잔금납부,2,2310000000,1478400000,1823232300,79,27,37.8058,11.44,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/50974/677066.jpg
