,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
1,고덕아르테온,81A㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,81.05,59.98,74,3,2,944,계단식,453600,977760,90720,433440,0,0,0,,217571,184586,"11억 5,000","14억 5,000","6억 2,000",7억,2억/150,"4억 5,000/100",2억/150,"4억 5,000/100",서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
2,고덕아르테온,81B㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,81.4,59.96,74,3,2,124,계단식,434700,947520,86940,425880,0,0,0,,217498,184525,,12억,,"6억 8,000",,,,,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
3,고덕아르테온,81C㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,81.56,59.98,74,3,2,10,계단식,425250,932400,85050,422100,0,0,0,,217571,184586,,"12억 5,000",,,,,,,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
4,고덕아르테온,113A㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,113.98,84.97,75,3,2,1591,계단식,1015200,1794060,203040,575820,0,0,0,,308219,261493,14억,"17억 5,000","7억 5,000",9억,1억/280,"5억 5,000/100",1억/280,"5억 5,000/100",서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
5,고덕아르테온,114B㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,114.35,84.93,74,3,2,475,계단식,999000,1768950,199800,570150,0,0,0,,308074,261370,"14억 5,000",17억,,,,1억/300,,1억/300,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
6,고덕아르테온,114D㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,114.58,84.95,74,3,2,311,계단식,999000,1768950,199800,570150,0,0,0,,308146,261431,15억,17억,,,1억/270,4억/200,1억/270,4억/200,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
7,고덕아르테온,114C㎡,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,114.14,84.94,74,3,2,299,계단식,1033200,1821960,206640,582120,0,0,0,,308110,261400,"15억 5,000",17억,8억,9억,,,,,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
8,고덕아르테온,152,서울시 강동구 상일동,1174010300,519,서울시 강동구 고덕로 360,37.555058,127.168387,4066,108,34,9,249,19,6405,"현대건설(주),대림산업(주)",HT005,152.72,114.86,75,4,2,170,계단식,1654200,2784510,330840,799470,158970,132480,26490,,416642,353478,"19억 5,000",23억,,13억,,,,,서울고현초등학교,B100005600,서울특별시 강동구 상일동 121,공립,단설,20200301,서울특별시교육청,http://gohyeon.sen.es.kr,20230531,0.0,26.8,695,643,20230531,10,65,9,9,8,8,8,7,235,228,241,239,216,,1,7,49,1338,1,4,0,0,20230531,12,,0,0.0,20230531,직영,0,1338,1275567000,37.55418959,127.16578697,1174010300,서울시,19.8,17.4,강동구,21.0,15.9,1,172.0,211.0,
0,고덕자이,67㎡,서울시 강동구 상일동,1174010300,521,서울시 강동구 상일로 55,37.552376,127.170896,1824,75,29,11,244,15,2400,지에스건설(주),HT005,67.47,48.67,72,2,1,15,계단식,216000,536400,43200,277200,0,0,0,,,,"8억 9,000","9억 2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,고덕자이,73㎡,서울시 강동구 상일동,1174010300,521,서울시 강동구 상일로 55,37.552376,127.170896,1824,75,29,11,244,15,2400,지에스건설(주),HT005,73.12,52.96,72,2,1,24,계단식,291680,680180,58330,330170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
