,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
0,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),13.9,2012.0,100000000,2022,10,8,중개거래,2022-10-08,312 days
1,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),14.81,2012.0,100000000,2023,1,2,중개거래,2023-01-02,226 days
2,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),13.64,2012.0,100000000,2022,2,22,중개거래,2022-02-22,540 days
3,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),14.46,2012.0,110000000,2020,9,21,,2020-09-21,1059 days
4,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),13.9,2012.0,110000000,2020,10,16,,2020-10-16,1034 days
5,2022-114352(1),아파트,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg,서울 영등포구 대림동 1101-1,1156013300,1156071000,서울,영등포구,대림동,1101,1,,7.0,703,서울 영등포구 도림천로19길 12,도림천로19길,12,,07448,37.4869194626454,126.900555035603,(1101-1),14.46,2012.0,110000000,2020,11,3,,2020-11-03,1016 days
6,2022-114512(1),아파트,2023-08-16,100,매각,0,1000000000,1000000000,1060199999,106,7,54.95,16.62,51.48,15.57,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114512/46356_AUTO_304.jpg,서울 양천구 신정동 325,1147010100,1147068000,서울,양천구,신정동,325,,1108동,6.0,605,서울 양천구 목동동로 10,목동동로,10,,08098,37.5120560613111,126.858409872488,목동신시가지11,66.24,1988.0,1350000000,2020,8,29,,2020-08-29,1082 days
7,2022-1886(1),아파트,2023-08-16,80,매각,1,919000000,735200000,744999999,81,3,34.99,10.58,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1886/533241.jpg,서울 성북구 길음동 1285,1129013400,1129066000,서울,성북구,길음동,1285,,704동,10.0,1002,서울 성북구 길음로13길 22,길음로13길,22,,02715,37.6096747261883,127.019032016559,길음뉴타운7단지(두산위브),114.99,2010.0,1450000000,2021,10,22,,2021-10-22,663 days
8,2022-1886(1),아파트,2023-08-16,80,매각,1,919000000,735200000,744999999,81,3,34.99,10.58,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1886/533241.jpg,서울 성북구 길음동 1285,1129013400,1129066000,서울,성북구,길음동,1285,,704동,10.0,1002,서울 성북구 길음로13길 22,길음로13길,22,,02715,37.6096747261883,127.019032016559,길음뉴타운7단지(두산위브),84.96,2010.0,1170000000,2021,6,24,,2021-06-24,783 days
9,2022-2582(1),아파트,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg,서울 중랑구 면목동 494,1126010100,1126057500,서울,중랑구,면목동,494,,3동,7.0,705,서울 중랑구 용마산로 348,용마산로,348,,02194,37.5827673646121,127.094265154541,용마금호타운,84.9,1992.0,700000000,2023,4,3,중개거래,2023-04-03,135 days
10,2022-2582(1),아파트,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg,서울 중랑구 면목동 494,1126010100,1126057500,서울,중랑구,면목동,494,,3동,7.0,705,서울 중랑구 용마산로 348,용마산로,348,,02194,37.5827673646121,127.094265154541,용마금호타운,84.9,1992.0,830000000,2021,10,8,,2021-10-08,677 days
11,2022-2582(1),아파트,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg,서울 중랑구 면목동 494,1126010100,1126057500,서울,중랑구,면목동,494,,3동,7.0,705,서울 중랑구 용마산로 348,용마산로,348,,02194,37.5827673646121,127.094265154541,용마금호타운,84.9,1992.0,620000000,2020,8,2,,2020-08-02,1109 days
12,2022-2582(1),아파트,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg,서울 중랑구 면목동 494,1126010100,1126057500,서울,중랑구,면목동,494,,3동,7.0,705,서울 중랑구 용마산로 348,용마산로,348,,02194,37.5827673646121,127.094265154541,용마금호타운,84.9,1992.0,750000000,2021,6,9,,2021-06-09,798 days
13,2022-53027(1),아파트,2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg,서울 성동구 금호동1가 633,1120010900,1120059000,서울,성동구,금호동1가,633,,302동,1.0,103,서울 성동구 금호로 100,금호로,100,,04718,37.5516933617965,127.027222938391,벽산,114.57,2001.0,1440000000,2021,8,30,,2021-08-30,714 days
14,2022-53027(1),아파트,2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg,서울 성동구 금호동1가 633,1120010900,1120059000,서울,성동구,금호동1가,633,,302동,1.0,103,서울 성동구 금호로 100,금호로,100,,04718,37.5516933617965,127.027222938391,벽산,84.82,2001.0,1400000000,2021,10,23,,2021-10-23,660 days
15,2022-53027(1),아파트,2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg,서울 성동구 금호동1가 633,1120010900,1120059000,서울,성동구,금호동1가,633,,302동,1.0,103,서울 성동구 금호로 100,금호로,100,,04718,37.5516933617965,127.027222938391,벽산,84.82,2001.0,1070000000,2020,9,10,,2020-09-10,1068 days
16,2022-53027(1),아파트,2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg,서울 성동구 금호동1가 633,1120010900,1120059000,서울,성동구,금호동1가,633,,302동,1.0,103,서울 성동구 금호로 100,금호로,100,,04718,37.5516933617965,127.027222938391,벽산,59.9,2001.0,920000000,2020,11,24,,2020-11-24,993 days
17,2022-53027(1),아파트,2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg,서울 성동구 금호동1가 633,1120010900,1120059000,서울,성동구,금호동1가,633,,302동,1.0,103,서울 성동구 금호로 100,금호로,100,,04718,37.5516933617965,127.027222938391,벽산,84.82,2001.0,1050000000,2020,12,7,,2020-12-07,980 days
18,2022-108221(1),아파트,2023-08-10,64,매각,2,1000000000,640000000,755224800,76,7,11.41,3.45,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108221/54216_AUTO_263.jpg,서울 중구 황학동 2545,1114016500,1114067000,서울,중구,황학동,2545,,102동,27.0,2702,서울 중구 청계천로 400,청계천로,400,,04572,37.5709782271712,127.021433711217,롯데캐슬,59.94,2008.0,840000000,2020,12,14,,2020-12-14,969 days
19,2023-100156(1),아파트,2023-08-10,80,매각,1,901000000,720800000,871111111,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.97,1999.0,860000000,2023,6,6,중개거래,2023-06-06,65 days
20,2023-100156(1),아파트,2023-08-10,80,매각,1,901000000,720800000,871111111,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.98,1999.0,900000000,2023,7,31,중개거래,2023-07-31,10 days
21,2023-100156(1),아파트,2023-08-10,80,매각,1,901000000,720800000,871111111,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.98,1999.0,920000000,2020,11,21,,2020-11-21,992 days
