,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
22,2023-101180(1),아파트,2023-08-09,80,매각,2,949000000,759200000,805000000,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,1020000000,2021,9,28,,2021-09-28,680 days
23,2023-101180(1),아파트,2023-08-09,80,매각,2,949000000,759200000,805000000,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,970000000,2022,7,16,중개거래,2022-07-16,389 days
24,2023-101180(1),아파트,2023-08-09,80,매각,2,949000000,759200000,805000000,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,810000000,2020,10,26,,2020-10-26,1017 days
25,2022-121558(1),아파트,2023-08-09,80,매각,1,1050000000,840000000,893210000,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,760000000,2020,8,8,,2020-08-08,1096 days
26,2022-121558(1),아파트,2023-08-09,80,매각,1,1050000000,840000000,893210000,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,780000000,2020,11,10,,2020-11-10,1002 days
27,2021-102239(1),아파트,2022-01-26,80,배당종결,1,351000000,280800000,308840000,88,4,15.47,4.68,33.04,9.99,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/102239/162921.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,760000000,2020,8,8,,2020-08-08,536 days
28,2021-102239(1),아파트,2022-01-26,80,배당종결,1,351000000,280800000,308840000,88,4,15.47,4.68,33.04,9.99,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/102239/162921.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,780000000,2020,11,10,,2020-11-10,442 days
29,2022-4176(1),아파트,2023-08-08,64,매각,2,998000000,638720000,733110000,73,4,39.66,12.0,114.653,34.68,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/4176/01564_AUTO_3.jpg,서울 동작구 상도동 445,1159010200,1159056000,서울,동작구,상도동,445,,102동,5.0,502,서울 동작구 양녕로23길 9,양녕로23길,9,,07049,37.4952970416671,126.941935290017,경향렉스빌,61.5494,2002.0,690000000,2021,6,12,,2021-06-12,787 days
30,2022-107860(1),아파트,2023-08-08,64,매각,2,1810000000,1158400000,1278000000,71,3,65.48,19.81,117.0,35.39,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107860/104688.jpg,서울 중구 신당동 851,1114016200,1114065000,서울,중구,신당동,851,,107동,12.0,1202,서울 중구 퇴계로90길 74,퇴계로90길,74,,04582,37.5616192513453,127.022720407044,래미안하이베르,59.95,2011.0,900000000,2023,2,25,중개거래,2023-02-25,164 days
31,2022-107860(1),아파트,2023-08-08,64,매각,2,1810000000,1158400000,1278000000,71,3,65.48,19.81,117.0,35.39,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107860/104688.jpg,서울 중구 신당동 851,1114016200,1114065000,서울,중구,신당동,851,,107동,12.0,1202,서울 중구 퇴계로90길 74,퇴계로90길,74,,04582,37.5616192513453,127.022720407044,래미안하이베르,84.98,2011.0,1370000000,2022,6,2,중개거래,2022-06-02,432 days
32,2022-107860(1),아파트,2023-08-08,64,매각,2,1810000000,1158400000,1278000000,71,3,65.48,19.81,117.0,35.39,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107860/104688.jpg,서울 중구 신당동 851,1114016200,1114065000,서울,중구,신당동,851,,107동,12.0,1202,서울 중구 퇴계로90길 74,퇴계로90길,74,,04582,37.5616192513453,127.022720407044,래미안하이베르,84.85,2011.0,1250000000,2020,11,1,,2020-11-01,1010 days
33,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,84.96,2004.0,1130000000,2023,1,6,직거래,2023-01-06,214 days
34,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,84.96,2004.0,1100000000,2023,3,20,직거래,2023-03-20,141 days
35,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,84.96,2004.0,1170000000,2023,7,24,중개거래,2023-07-24,15 days
36,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,84.96,2004.0,1420000000,2021,12,11,중개거래,2021-12-11,605 days
37,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,134.98,2004.0,1500000000,2020,8,10,,2020-08-10,1093 days
38,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,114.97,2004.0,1520000000,2021,1,26,,2021-01-26,924 days
39,2023-101395(1),아파트,2023-08-08,80,매각,1,1280000000,1024000000,1061999999,83,4,46.7,14.13,84.96,25.7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg,서울 동작구 상도동 431,1159010200,1159053000,서울,동작구,상도동,431,,310동,7.0,704,서울 동작구 상도로53길 8,상도로53길,8,,06977,37.4993523923787,126.954733217786,래미안상도3차,164.91,2004.0,1800000000,2021,5,10,,2021-05-10,820 days
40,2023-101999(1),아파트,2023-08-08,80,매각,1,414000000,331200000,411730090,99,17,4.992,1.51,36.96,11.18,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101999/114799.jpg,서울 강남구 역삼동 720-25,1168010100,1168065000,서울,강남구,역삼동,720,25,,17.0,1708,서울 강남구 언주로 427,언주로,427,,06221,37.5014764820153,127.042690475293,대우디오빌,30.03,2002.0,330000000,2022,3,12,중개거래,2022-03-12,514 days
41,2023-101999(1),아파트,2023-08-08,80,매각,1,414000000,331200000,411730090,99,17,4.992,1.51,36.96,11.18,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101999/114799.jpg,서울 강남구 역삼동 720-25,1168010100,1168065000,서울,강남구,역삼동,720,25,,17.0,1708,서울 강남구 언주로 427,언주로,427,,06221,37.5014764820153,127.042690475293,대우디오빌,36.96,2002.0,450000000,2021,4,9,,2021-04-09,851 days
42,2023-101999(1),아파트,2023-08-08,80,매각,1,414000000,331200000,411730090,99,17,4.992,1.51,36.96,11.18,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101999/114799.jpg,서울 강남구 역삼동 720-25,1168010100,1168065000,서울,강남구,역삼동,720,25,,17.0,1708,서울 강남구 언주로 427,언주로,427,,06221,37.5014764820153,127.042690475293,대우디오빌,30.03,2002.0,320000000,2021,5,28,,2021-05-28,802 days
43,2022-1899(1),아파트,2023-08-08,64,매각,2,348000000,222720000,222720000,64,1,4.992,1.51,26.97,8.16,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/1899/313546.jpg,서울 은평구 진관동 140,1138011400,1138069000,서울,은평구,진관동,140,,412동,8.0,801,서울 은평구 연서로44길 7,연서로44길,7,,03309,37.6297936071878,126.932075644383,폭포동4단지힐스테이트(408~422동)BL3-9,166.96,2010.0,1350000000,2021,1,19,,2021-01-19,931 days
44,2022-55759(1),아파트,2023-08-08,64,매각,2,1360000000,870400000,953789000,70,8,18.89,5.71,101.76,30.78,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55759/305218.jpg,서울 은평구 진관동 102,1138011400,1138069000,서울,은평구,진관동,102,,121동,10.0,1008,서울 은평구 진관1로 21-10,진관1로,21,10,03311,37.6330388638858,126.922287528799,박석고개1단지힐스테이트(116~131동)BL2-1,134.84,2009.0,1390000000,2021,1,9,,2021-01-09,941 days
45,2022-53096(1),아파트,2023-08-07,80,매각,1,952000000,761600000,768620000,81,1,34.84,10.54,59.91,18.12,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53096/310354.jpg,서울 성동구 응봉동 98,1120010800,1120058000,서울,성동구,응봉동,98,,103동,1.0,103,서울 성동구 독서당로 377,독서당로,377,,04720,37.5510468773952,127.030954035723,금호현대,79.8,1990.0,950000000,2020,12,9,,2020-12-09,971 days
46,2022-53096(1),아파트,2023-08-07,80,매각,1,952000000,761600000,768620000,81,1,34.84,10.54,59.91,18.12,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53096/310354.jpg,서울 성동구 응봉동 98,1120010800,1120058000,서울,성동구,응봉동,98,,103동,1.0,103,서울 성동구 독서당로 377,독서당로,377,,04720,37.5510468773952,127.030954035723,금호현대,59.91,1990.0,850000000,2021,3,6,,2021-03-06,884 days
47,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,59.91,2019.0,830000000,2023,3,8,중개거래,2023-03-08,147 days
48,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,59.91,2019.0,840000000,2023,5,5,중개거래,2023-05-05,89 days
49,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,49.54,2019.0,950000000,2021,9,11,,2021-09-11,690 days
50,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,59.91,2019.0,1030000000,2020,10,14,,2020-10-14,1022 days
51,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,59.91,2019.0,1010000000,2020,11,21,,2020-11-21,984 days
52,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,49.27,2019.0,970000000,2021,2,22,,2021-02-22,891 days
53,2022-107982(1),아파트,2023-08-02,64,매각,2,1480000000,947200000,1120000000,76,9,44.9,13.58,84.83,25.66,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg,서울 동대문구 답십리동 1014,1123010500,1123061000,서울,동대문구,답십리동,1014,,107동,4.0,404,서울 동대문구 답십리로56길 105,답십리로56길,105,,02616,37.5677324870223,127.059520848719,답십리파크자이,49.27,2019.0,970000000,2021,6,1,,2021-06-01,792 days
54,2022-57458(1),아파트,2023-08-01,80,매각,1,1720000000,1376000000,1556530530,90,8,38.95,11.78,84.665,25.61,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57458/49959_AUTO_71.jpg,서울 마포구 신수동 462,1144011100,1144063000,서울,마포구,신수동,462,,105동,5.0,504,서울 마포구 광성로 17,광성로,17,,04094,37.5511313387287,126.934179457938,신촌숲아이파크,84.901,2019.0,1500000000,2023,2,16,중개거래,2023-02-16,166 days
55,2022-57458(1),아파트,2023-08-01,80,매각,1,1720000000,1376000000,1556530530,90,8,38.95,11.78,84.665,25.61,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57458/49959_AUTO_71.jpg,서울 마포구 신수동 462,1144011100,1144063000,서울,마포구,신수동,462,,105동,5.0,504,서울 마포구 광성로 17,광성로,17,,04094,37.5511313387287,126.934179457938,신촌숲아이파크,59.751,2019.0,1300000000,2023,7,8,중개거래,2023-07-08,24 days
56,2023-107(1),아파트,2023-08-01,80,매각,1,1733000000,1386400000,1392220000,80,1,29.04,8.78,126.3,38.21,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2023/107/147302.jpg,서울 마포구 신수동 462,1144011100,1144063000,서울,마포구,신수동,462,,105동,5.0,504,서울 마포구 광성로 17,광성로,17,,04094,37.5511313387287,126.934179457938,신촌숲아이파크,84.901,2019.0,1500000000,2023,2,16,중개거래,2023-02-16,166 days
