,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수
0,2030센터뷰(도시형),25㎡,서울시 영등포구 문래동1가,1156011900,22-12,서울시 영등포구 경인로90길 4,37.513836,126.900566,20,0,11,11,299,51,13,카사코(주),HT001,25.99,20.83,80,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2030센터뷰(도시형),26㎡,서울시 영등포구 문래동1가,1156011900,22-12,서울시 영등포구 경인로90길 4,37.513836,126.900566,20,0,11,11,299,51,13,카사코(주),HT001,26.97,21.62,80,1,1,5,계단식,,,,,,,,,,,,,,"2억 8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030센터뷰(도시형),33A㎡,서울시 영등포구 문래동1가,1156011900,22-12,서울시 영등포구 경인로90길 4,37.513836,126.900566,20,0,11,11,299,51,13,카사코(주),HT001,33.41,26.78,80,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2030센터뷰(도시형),33B,서울시 영등포구 문래동1가,1156011900,22-12,서울시 영등포구 경인로90길 4,37.513836,126.900566,20,0,11,11,299,51,13,카사코(주),HT001,33.62,26.95,80,1,1,5,계단식,,,,,,,,,,,,,"2억 8,000","2억 9,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
